Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ret1,ret5,y
2020-08-31 00:00:00+05:30,985.7595292256586,985.7595292256586,934.2270624878475,943.4544067382812,62076132,0.0,0.0,,,1
2020-09-01 00:00:00+05:30,952.2056589351108,962.3625085827924,935.1566206196068,946.4244384765624,38616258,0.0,0.0,0.0031480394993852467,,1
2020-09-02 00:00:00+05:30,948.5782147606872,969.4360647157956,945.4042254030268,964.992431640625,26949439,0.0,0.0,0.019619097319540035,,0
2020-09-03 00:00:00+05:30,964.9017393534516,969.7761228830587,953.5659776492616,957.6921997070312,18586429,0.0,0.0,-0.007565066516824759,,0
2020-09-04 00:00:00+05:30,944.7467140146103,950.8226774812872,939.6002554209448,941.8900756835938,28475945,0.0,0.0,-0.016500211684162713,,1
2020-09-07 00:00:00+05:30,944.950776960414,954.812883543974,926.9268380792043,944.338623046875,21926473,0.0,0.0,0.0025996105347050324,0.0009372114882060245,1
2020-09-08 00:00:00+05:30,948.5781353786672,961.7276301292338,943.363673326264,955.4249877929688,27397082,0.0,0.0,0.011739819250772499,0.009510055901445602,1
2020-09-09 00:00:00+05:30,945.4041824088742,982.948262646231,943.7944599093832,980.0236206054688,55310877,0.0,0.0,0.02574627325722645,0.01557648378577281,1
2020-09-10 00:00:00+05:30,989.8859410785748,1063.2738387122567,986.3718125105738,1049.2401123046875,140304404,0.0,0.0,0.07062737085505755,0.09559220867170248,1
2020-09-11 00:00:00+05:30,1048.333038061574,1060.0541533856804,1037.0426132778334,1051.8470458984375,59470807,0.0,0.0,0.0024845920044209713,0.11674076737143713,0
2020-09-14 00:00:00+05:30,1054.2277957192978,1070.0978626809967,1034.7301409572988,1044.0482177734375,44063445,0.0,0.0,-0.007414412727982378,0.10558669559109313,1
2020-09-15 00:00:00+05:30,1048.3104335818653,1054.5677402462595,1037.518702454909,1051.4390869140625,27178393,0.0,0.0,0.007079049621278033,0.10049360268762308,1
2020-09-16 00:00:00+05:30,1051.9602968564543,1074.3371332294498,1047.6754600565869,1054.0234375,33952295,0.0,0.0,0.0024579175513841367,0.07550819729101366,0
2020-09-17 00:00:00+05:30,1051.9605029718427,1058.17259404091,1039.1964218842008,1042.3251953125,25828669,0.0,0.0,-0.011098654708520228,-0.0065904047234705,1
2020-09-18 00:00:00+05:30,1049.3532551234189,1051.7110790333331,1032.2588818564082,1045.4764404296875,33074915,0.0,0.0,0.0030232840301271935,-0.006056589209991636,0
2020-09-21 00:00:00+05:30,1042.8918823662696,1059.2154272970995,1019.0187188937508,1022.8729858398438,33627381,0.0,0.0,-0.02162024290146014,-0.020281852478760576,0
2020-09-22 00:00:00+05:30,1032.4629482711289,1032.4629482711289,998.2515919553894,1002.6045532226562,34792254,0.0,0.0,-0.019815199832016073,-0.04644542351448422,1
2020-09-23 00:00:00+05:30,1024.7546930361625,1032.349647647501,999.9520239691242,1011.5144653320312,42988708,0.0,0.0,0.008886766054209572,-0.04033019632731716,0
2020-09-24 00:00:00+05:30,1001.1308828752752,1009.3379310241464,986.6890759494188,989.0242919921876,29826318,0.0,0.0,-0.022234158888139288,-0.05113653930655704,1
2020-09-25 00:00:00+05:30,992.5610883137336,1003.3527603033637,982.7216491326262,998.3196411132812,28374935,0.0,0.0,0.00939850436066636,-0.045105559047342036,1
2020-09-28 00:00:00+05:30,1009.791436796348,1014.7792199657464,1000.7454952765088,1004.9170532226562,19666849,0.0,0.0,0.0066085167892899754,-0.017554410826916667,1
2020-09-29 00:00:00+05:30,1008.8844926380804,1026.5682312030854,1004.9169464432822,1017.9757690429688,25842539,0.0,0.0,0.012994819600717022,0.01533128467340883,0
2020-09-30 00:00:00+05:30,1024.7546512095244,1027.928640481229,1008.8845849148896,1013.1242065429688,24465159,0.0,0.0,-0.0047658919274288225,0.0015914168962567476,0
2020-10-01 00:00:00+05:30,1026.4776536649397,1026.4776536649397,1003.8968020817643,1008.9979248046876,20783227,0.0,0.0,-0.00407282908811446,0.020195290423319356,0
2020-10-05 00:00:00+05:30,1017.4997065200467,1019.8348626021702,1000.269384966474,1003.0806274414062,18922799,0.0,0.0,-0.005864528774354838,0.004768999959587905,0
2020-10-06 00:00:00+05:30,1008.9979425426257,1012.9200933518428,998.296942586189,1002.2418212890624,18412175,0.0,0.0,-0.0008362300391380195,-0.0026621420394993267,1
2020-10-07 00:00:00+05:30,1013.4189695717492,1046.9728986337418,1006.617512051414,1023.6212158203124,53170865,0.0,0.0,0.021331572956866163,0.0055457575209783005,0
2020-10-08 00:00:00+05:30,1024.301278914029,1028.3822254886384,1007.569709792054,1015.3460083007812,21077808,0.0,0.0,-0.008084247758483154,0.002193020108949728,0
2020-10-09 00:00:00+05:30,1013.4188900706192,1021.5806624419674,1005.3024535496828,1012.716064453125,18545499,0.0,0.0,-0.002590194698315229,0.0036849824534148645,1
2020-10-12 00:00:00+05:30,1013.418883808066,1022.8275119437076,1009.4513972409952,1014.348388671875,14226473,0.0,0.0,0.0016118281086332509,0.01123315606165165,1
2020-10-13 00:00:00+05:30,1011.423767661742,1036.4305673579886,1009.2699549272936,1034.1407470703125,23112012,0.0,0.0,0.01951238708463121,0.031827574048169716,1
2020-10-14 00:00:00+05:30,1033.3245163972065,1044.7056133384592,1028.608748631058,1037.2239990234375,26742011,0.0,0.0,0.0029814625928430427,0.0132888836152385,0
2020-10-15 00:00:00+05:30,1038.3575230267356,1038.3575230267356,995.2815705789496,1000.4960327148438,20036197,0.0,0.0,-0.03540986936589752,-0.014625532049699519,0
2020-10-16 00:00:00+05:30,1004.3502142447804,1012.2851869024872,985.147364528142,986.57568359375,21583600,0.0,0.0,-0.013913447595909956,-0.02581215187249053,1
2020-10-19 00:00:00+05:30,993.0370533155368,1010.5621766967382,977.2123240387696,986.7570190429688,31200385,0.0,0.0,0.0001838028771985467,-0.02720107798961724,0
